study,participant,age,arrivalBR,Pmagazines,Pnews,Pbooks,Emagazines,Enews,Ebooks,socialm,other,sexo,escolaridade,escolaridade mãe,escolaridade pai,país origem,línguas,começou a escutar crioulo h,começou a falar crioulo h,começou a ler crioulo h,começou a escrever crioulo h,começou a escutar português,começou a falar português,começou a ler português,começou a escrever português,começou a escutar francês,começou a falar francês,começou a ler francês,começou a escrever francês,começou a escutar espanhol,começou a falar espanhol,começou a ler espanhol,começou a escrever espanhol,começou a escutar inglês,começou a falar inglês,começou a ler inglês,começou a escrever inglês,tempo para escutar crioulo h,tempo para falar crioulo h,tempo para ler crioulo h,tempo para escrever crioulo h,tempo para escutar português,tempo para falar português,tempo para ler português,tempo para escrever português,tempo para escutar francês,tempo para falar francês,tempo para ler francês,tempo para escrever francês,tempo para escutar espanhol,tempo para falar espanhol,tempo para ler espanhol,tempo para escrever espanhol,tempo para escutar inglês,tempo para falar inglês,tempo para ler inglês,tempo para escrever inglês,país + de 3 meses,país + de 3 meses duração,país + de 3 meses língua,país + 3 meses espanhol freq,país + 3 meses francês freq,país + 3 meses italiano freq,país + 3 meses inglês freq,país + 3 meses crioulo freq,línguas imersão,línguas aula,línguas sozinho,crioulo h em casa,crioulo h com amigos,crioulo h na escola,crioulo h trabalho,crioulo h no pc,crioulo h em jogos online,português em casa,português com amigos,português na escola,português trabalho,português no pc,português em jogos online,francês em casa,francês com amigos,francês na escola,francês trabalho,francês no pc,francês em jogos online,espanhol em casa,espanhol com amigos,espanhol na escola,espanhol trabalho,espanhol no pc,espanhol em jogos online,inglês em casa,inglês com amigos,inglês na escola,inglês trabalho,inglês no pc,inglês em jogos online,habilidade línguas,habilidade crioulo h escutar,habilidade crioulo h falar,habilidade crioulo h ler,habilidade crioulo h escrever,habilidade português escutar,habilidade português falar,habilidade português ler,habilidade português escrever,habilidade francês escutar,habilidade francês falar,habilidade francês ler,habilidade francês escrever,habilidade espanhol escutar,habilidade espanhol falar,habilidade espanhol ler,habilidade espanhol escrever,habilidade inglês escutar,habilidade inglês falar ,habilidade inglês ler,habilidade inglês escrever,horas crioulo h tv,horas crioulo h rádio,horas crioulo h ler divertir,horas crioulo h ler trabalho,horas crioulo h escrever,horas crioulo h redes sociais,horas português tv,horas português rádio,horas português ler divertir,horas português ler trabalho,horas português escrever,horas português redes sociais,horas francês tv,horas francês rádio,horas francês ler divertir,horas francês ler trabalho,horas francês escrever,horas francês redes sociais,horas espanhol tv,horas espanhol rádio,horas espanhol ler divertir,horas espanhol ler trabalho,horas espanhol escrever,horas espanhol redes sociais,horas inglês tv,horas inglês rádio,horas inglês ler divertir,horas inglês ler trabalho,horas inglês escrever,horas inglês redes sociais,horas crioulo h família,horas crioulo h amigos,horas crioulo h trabalho,horas crioulo h escola,horas português família,horas português amigos,horas português trabalho,horas português escola,horas francês família,horas francês amigos,horas francês trabalho,horas francês escola,horas espanhol família,horas espanhol amigos,horas espanhol trabalho,horas espanhol escola,horas inglês família,horas inglês amigos,horas inglês trabalho,horas inglês escola,confortável escutar em casa,confortável falar em casa,confortável ler em casa,confortável escrever em casa,confortável escutar amigos,confortável falar amigos,confortável ler amigos,confortável escrever amigos,confortável escutar escola,confortável falar escola,confortável ler escola,confortável escrever escola,confortável escutar trabalho,confortável falar trabalho,confortável ler trabalho,confortável escrever trabalho,freq crioulo h pensar,freq crioulo h falar sozinho,freq crioulo h emoções,freq crioulo h sonhar,freq crioulo h matemática,freq crioulo h telefone,freq crioulo h rezar,freq português pensar,freq português falar sozinho,freq português emoções,freq português sonhar,freq português matemática,freq português telefone,freq português rezar,freq francês pensar,freq francês falar sozinho,freq francês emoções,freq francês sonhar,freq francês matemática,freq francês telefone,freq francês rezar,freq espanhol pensar,freq espanhol falar sozinho,freq espanhol emoções,freq espanhol sonhar,freq espanhol matemática,freq espanhol telefone,freq espanhol rezar,freq inglês pensar,freq inglês falar sozinho,freq inglês emoções,freq inglês sonhar,freq inglês matemática,freq inglês telefone,freq inglês rezar,dificuldade audição visão,corrigida ou não
pilot,CZ61G,46,2017,2,1,2,2,2,4,2,4,Feminino,Ensino fundamental,Ensino fundamental,Ensino fundamental,Haiti,"Crioulo haitiano, Português, Espanhol, Francês",1,2,4,4,41,41,41,41,7,7,7,7,13,35,13,13,,,,,,,,,"0,5","0,5","0,5","0,5",1,1,"0,5","0,5",1,"0,5","0,5","0,5",,,,,Equador,24,Espanhol,5,,,,,,"Português, Francês","Português, Espanhol",2,2,5,,,,,41,46,42,,,,7,7,20,,,,35,13,35,,,,,,,,,2,6,6,6,6,3,3,3,3,4,4,4,4,3,3,3,3,,,,,2,1,1,,,1,1,1,1,,1,1,1,1,1,,,1,,,,,,,,,,,,,1,1,,,,1,6,1,,1,,,,,,,,,,,C,C,C,C,C,"C, P",C,"C, P",P,P,P,P,P,P,P,P,6,7,7,2,3,2,6,,,,,,,,2,2,2,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,SIM,SIM
pilot,SVZ3Q,37,2013,4,2,4,4,5,5,5,3,Masculino,Graduação,Educação infantil,Ensino médio,Haiti,"Crioulo haitiano, Português, Espanhol, Francês, Inglês",Até 2 anos,,,,Mais de 18 anos,,,,Até 2 anos,,,,De 15 a 18 anos,,,,De 15 a 18 anos,,,,Menos de 1 ano,Menos de 1 ano,Menos de 1 ano,Menos de 1 ano,Menos de 1 ano,Menos de 1 ano,Menos de 1 ano,De 1 a 2 anos,Menos de 1 ano,Menos de 1 ano,Menos de 1 ano,Menos de 1 ano,Menos de 1 ano,Menos de 1 ano,Menos de 1 ano,De 1 a 2 anos,,,,,Equador,Uma semama,Espanhol,Frequentemente,Muito frequentemente,Nunca,Algumas vezes,,"Português, Espanhol, Inglês","Português, Francês, Inglês","Espanhol, Inglês",1 ano,1 ano,1 ano,1 ano,1 ano,1 ano,25 anos,25 anos,25 anos,25 anos,25 anos,25 anos,1 ano,1 ano,1 ano,1 ano,1 ano,10 anos,25 anos,15 anos,15 anos,15 anos,15 anos,15 anos,,,,,,,6,Excelente,Excelente,Excelente,Excelente,Muito boa,Muito boa,Muito boa,Muito boa,Não se aplica a esta língua,Não se aplica a esta língua,Não se aplica a esta língua,Não se aplica a esta língua,Muito boa,Razoável,,,,,,,De 1h a 3h,De 1h a 3h,De 1h a 3h,De 1h a 3h,,De 1h a 3h,De 1h a 3h,De 1h a 3h,De 1h a 3h,De 1h a 3h,,De 1h a 3h,De 1h a 3h,De 1h a 3h,De 1h a 3h,De 1h a 3h,,De 7h a 9h,De 1h a 3h,De 1h a 3h,De 1h a 3h,De 1h a 3h,,De 1h a 3h,,,,,,,De 1h a 3h,De 1h a 3h,De 1h a 3h,,De 1h a 3h,De 1h a 3h,De 1h a 3h,,Menos de 1h,Menos de 1h,Menos de 1h,,Menos de 1h,Menos de 1h,Menos de 1h,,,,,,"Crioulo haitiano, Português, Francês","Crioulo haitiano, Português, Francês","Crioulo haitiano, Português, Francês","Crioulo haitiano, Português, Francês","Crioulo haitiano, Português, Francês","Crioulo haitiano, Português, Francês","Crioulo haitiano, Português, Francês","Crioulo haitiano, Português, Francês",,,,,"Crioulo haitiano, Português, Francês","Crioulo haitiano, Português, Francês","Crioulo haitiano, Português, Francês","Crioulo haitiano, Português, Francês",Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Raramente,Raramente,Raramente,Raramente,Raramente,Raramente,Raramente,,,,,,,,,
pilot,NPF5B,32,2014,4,5,4,4,5,4,5,,Masculino,Ensino médio,Ensino fundamental,Ensino fundamental,Haiti,"Crioulo haitiano, Português, Francês",2,2,5,5,26,26,26,26,2,2,5,5,,,,,,,,,,,,,1,"0,5",2,1,5,5,5,5,,,,,,,,,,,,,,,,,,Português,,,,,,,,26,26,26,26,,,,,,,,,,,,,,,,,,,,,5,7,7,7,7,6,6,6,5,7,7,7,7,,,,,,,,,,,,,,1,1,2,1,6,1,2,,,,,,1,,,,,,,,,,,,,1,1,,,1,1,8,1,1,1,,,,,,,,,,,C,C,F,C,C,C,C,C,P,P,P,P,P,P,P,P,,,,,,,,4,4,4,4,6,5,5,5,5,2,4,3,5,4,,,,,,,,,,,,,,,NÃO,NÃO
pilot,D4QY2,28,2017,4,2,4,2,2,3,5,4,Masculino,Ensino médio ,Ensino fundamental,Ensino fundamental,Haiti,"Crioulo haitiano, Português, Francês",1,3,6,6,20,23,23,23,3,10,7,7,,,,,,,,,,,,,1,1,1,1,1,6,6,8,,,,,,,,,,,,,,,,,Português,"Português, Francês",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,6,6,6,6,5,4,4,7,5,6,5,,,,,,,,,,,6,,,7,1,,2,8,10,6,3,,,,,5,,,,,,,,,,,,,6,10,3,,4,8,4,10,1,2,1,,,,,,,,,,C,C,P,C,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,5,6,6,4,4,5,2,3,3,2,2,2,2,5,,,,,,,,,,,,,,,NÃO,NÃO
study2,J06WV,32,2015,2,2,3,5,3,5,1,3,Masculino,Ensino fundamental,,,Haiti,"Crioulo haitiano, Francês, Português, Espanhol",4,4,10,12,23,23,23,23,4,4,10,12,16,17,,,,,,,,,,,"0,5","0,5",1,1,3,5,5,5,1,1,,,,,,,República Dominicana,113,Espanhol,7,,,,,"Português, Francês, Crioulo haitiano, Espanhol","Português, Francês, Crioulo haitiano",Português,5,5,10,,23,,23,23,24,23,23,,5,5,10,,23,,17,17,,17,23,,,,,,,,5,7,7,7,7,7,7,5,5,7,7,7,7,6,6,,,,,,,1,,,,,,4,,2,4,4,1,1,,,,,,,,,,,,,,,,,,1,2,,,2,2,8,,1,2,,,,,8,,,,,,"P, C, F",P,"P, C, F","P, C, F","C, F","P, C, F","P, C, F","C, F",P,P,P,P,E,E,P,P,,,,,,,,7,7,7,7,2,7,2,7,7,7,2,2,7,7,2,2,7,1,1,1,7,,,,,,,,NÃO,NÃO
study2,YY17D,31,2018,5,5,3,5,5,3,5,3,Masculino,Ensino médio,Ensino médio,,Haiti,"Crioulo haitiano, Francês, Português, Inglês",2,2,3,3,27,27,27,28,6,6,6,6,,,,,17,17,17,17,,,,,5,5,5,5,,,,,,,,,,,,,,,,,,,,,Português,"Crioulo haitiano, Francês, Inglês",,2,2,2,,,,5,5,5,5,5,5,6,6,6,,,6,,,,,,,17,17,17,17,17,17,2,3,6,6,6,5,5,6,6,2,2,2,6,,,,,3,3,3,3,5,,3,,,2,9,9,7,7,7,8,5,5,3,,,3,,,,,,,1,1,1,,,3,5,10,,,5,10,8,,5,10,,,,,,,1,2,1,,P,P,P,P,P,P,P,P,,,,,P,P,P,P,,,,,,,,4,4,4,4,1,5,4,4,4,4,1,1,5,6,,,,,,,,,,,,,,,NÃO,NÃO
study2,PFV7U,34,2018,4,1,3,5,5,5,5,5,Masculino,Ensino fundamental,Educação infantil,Educação infantil,Haiti,"Crioulo, Português, Francês",1,1,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,C,C,P,"P, C","P, C","P, C",P,P,P,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NÃO,NÃO
study2,RIY5C,34,2015,3,2,2,3,2,2,3,,Feminino,Ensino médio,Educação infantil,Educação infantil,Haiti,"Crioulo haitiano, Português, Francês",Até 2 anos,,,,Mais de 18 anos,,,,De 5 a 8 anos,,,,,,,,,,,,Menos de 1 ano,De 1 a 2 anos,De 4 a 6 anos,De 4 a 6 anos,De 1 a 2 anos,De 1 a 2 anos,De 1 a 2 anos,De 1 a 2 anos,Menos de 1 ano,Menos de 1 ano,Menos de 1 ano,Menos de 1 ano,,,,,,,,,,,,,,,,,"Português, Francês",Francês,Português,Eu comecei a usar crioulo desde que eu nasci ,Desde 3 anos comecei a conversar com a família des,Comecei na escola com 3 anos ,Com 25 anos ,20 anos ,,27anos,27anos,30anos,27anos,30anos,27anos,9anos,9anos,4anos,27anos,32anos,32anos,,,,,,,,,,,,,5,Excelente,Excelente,Excelente,Excelente,Boa,Boa,Boa,Boa,Excelente,Excelente,Excelente,Excelente,,,,,,,,,De 1h a 3h,De 1h a 3h,Menos de 1h,Menos de 1h,,De 3h a 5h,De 1h a 3h,De 3h a 5h,Menos de 1h,De 5h a 7h,,Menos de 1h,Menos de 1h,Menos de 1h,Menos de 1h,Menos de 1h,,De 1h a 3h,,,,,,,,,,,,,De 7h a 9h,De 1h a 3h,De 7h a 9h,,De 3h a 5h,De 5h a 7h,De 7h a 9h,,Menos de 1h,Menos de 1h,Menos de 1h,,,,,,,,,,"Crioulo haitiano, Português, Francês","Crioulo haitiano, Português","Crioulo haitiano, Português",Crioulo haitiano,"Crioulo haitiano, Português","Crioulo haitiano, Português",Português,"Crioulo haitiano, Português",,,,,Português,Português,Português,Português,Muito frequentemente,Muito frequentemente,Algumas vezes,Muito frequentemente,Sempre,Algumas vezes,Sempre,Ocasionalmente,Algumas vezes,Frequentemente,Algumas vezes,Algumas vezes,Muito frequentemente,Raramente,Muito frequentemente,Muito frequentemente,Frequentemente,Muito frequentemente,Muito frequentemente,Frequentemente,Frequentemente,,,,,,,,,,,,,,,,
study2,TFCOE,35,2013,2,2,5,4,4,5,5,5,Feminino,Graduação,Educação infantil,Ensino fundamental,Haiti,"Crioulo haitiano, Português, Francês, Inglês",1,3,6,6,29,30,30,30,9,9,9,9,,,,,13,13,13,13,,,,,5,4,2,3,2,1,"1,5",2,,,,,3,4,2,2,,,,,,,,,Português,"Português, Francês, Inglês, Espanhol",Português,1,6,6,23,,,29,29,31,30,29,35,6,6,6,23,,,,,,,,,,13,13,,,,4,7,7,7,7,5,5,6,5,7,6,7,7,,,,,5,4,4,4,10,,,,,,1,9,,1,"0,5",8,2,,,,,,,,,,,,1,,,,,,9,2,,5,10,19,9,3,2,1,,5,,,,,"0,5",,1,1,"C, P",C,"F, P","F, P, C",P,P,P,"P, F, C",P,P,P,P,P,P,P,P,,,,,,,,5,6,4,6,7,7,7,7,7,4,6,6,5,7,,,,,,,,4,3,4,3,3,4,3,NÃO,NÃO
study2,LJ81F,23,2020,4,2,5,5,2,5,5,,Feminino,Graduação,Educação infantil,Ensino fundamental,Haiti,"Crioulo haitiano, Português, Francês",De 2 a 5 anos,,,,Mais de 18 anos,,,,De 5 a 8 anos,,,,,,,,,,,,Não demorar ,É fácil porque é minha língua ,Menos de 1 ano,Menos de 1 ano,De 1 a 2 anos,De 1 a 2 anos,De 1 a 2 anos,De 1 a 2 anos,Menos de 1 ano,Menos de 1 ano,Menos de 1 ano,De 1 a 2 anos,,,,,,,,,"Sim eu quero, USA, Canadá,  França ",1ano ,,Raramente,Ocasionalmente,Nunca,Raramente,,Português,"Português, Espanhol, Inglês",Português,1ano ,3anos,7anos,18anos,Nunca,Nunca,22anos,22anos,23anos,22anos,23anos,23anos,,6anos,3anos,18anos,10anos,10anos,,,,,,,,,,,,,5,Funcional,Funcional,Funcional,Funcional,Funcional,Razoável,Razoável,Razoável,Funcional,Funcional,Funcional,Funcional,,,,,,,,,Menos de 1h,Menos de 1h,De 9h a 11h,Menos de 1h,,De 7h a 9h,De 3h a 5h,De 1h a 3h,De 1h a 3h,De 7h a 9h,,De 3h a 5h,De 1h a 3h,De 3h a 5h,De 5h a 7h,Menos de 1h,,De 7h a 9h,,,,,,,,,,,,,De 5h a 7h,De 5h a 7h,Menos de 1h,,Menos de 1h,De 1h a 3h,De 7h a 9h,,De 1h a 3h,De 1h a 3h,Menos de 1h,,,,,,,,,,"Crioulo haitiano, Francês",Crioulo haitiano,"Crioulo haitiano, Francês","Crioulo haitiano, Francês","Crioulo haitiano, Francês","Crioulo haitiano, Francês","Crioulo haitiano, Francês",Crioulo haitiano,,,,,Português,Português,"Crioulo haitiano, Português, Francês",Português,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Algumas vezes,Ocasionalmente,Ocasionalmente,Raramente,Ocasionalmente,Frequentemente,Raramente,Frequentemente,Frequentemente,Algumas vezes,Ocasionalmente,Muito frequentemente,Muito frequentemente,Frequentemente,,,,,,,,,,,,,,,,
study2,AOHU7,33,2013,2,5,4,2,5,4,5,,Masculino,Ensino médio,Ensino fundamental,Ensino médio,Haiti,"Crioulo haitiano, Português, Francês, Inglês",1,2,3,4,24,24,25,25,1,2,3,4,,,,,13,14,14,15,,,,,2,2,2,2,1,1,3,4,,,,,2,2,2,2,,,,,,,,,"Português, Crioulo haitiano","Francês, Inglês",,1,2,3,18,17,18,24,24,26,24,17,17,1,2,3,18,17,18,,,,,,,12,13,13,20,17,17,4,7,7,7,7,4,4,4,4,5,5,5,5,,,,,3,3,3,3,1,1,1,1,1,1,2,2,"0,5",2,1,1,2,2,"0,5",1,2,2,,,,,,,"0,5","0,5","0,5","0,5","0,5","0,5",1,1,1,1,"0,5","0,5","0,5","0,5","0,5",,,1,,,,,"0,5",,,"0,5",C,C,F,C,C,P,C,C,P,P,P,P,P,P,P,P,,,,,,,,2,3,4,2,6,3,2,2,4,3,3,3,3,3,,,,,,,,2,3,2,2,3,2,4,NÃO,NÃO
study2,WFJR9,47,2020,2,2,5,2,2,5,5,5,Feminino,Graduação,Graduação,Graduação,Haiti,"Crioulo haitiano, Francês","0,5",1,5,5,,,,,3,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crioulo haitiano, Francês",Português,1,3,3,,20,,45,45,45,45,45,45,3,3,3,,20,,,,,,,,,,,,,,4,6,7,6,6,5,3,5,5,5,5,6,6,,,,,,,,,2,5,1,3,4,1,4,2,1,2,2,1,3,5,1,1,3,1,,,,,,,,,,,,,12,1,2,7,1,1,2,2,1,1,2,2,,,,,,,,,C,C,C,C,C,C,,,P,P,P,P,P,P,,,,,,,,,,5,7,,2,4,7,,2,3,,2,2,3,,,,,,,,,,,,,,,,SIM,NÃO
study2,UU4LD,24,2019,,,,,,,,,Feminino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
study2,G5OXP,36,2019,,,,,,,,,Feminino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
study2,T0U1A,26,2019,4,2,2,4,2,4,4,5,Masculino,Ensino fundamental,Ensino fundamental,Ensino fundamental,Haiti,"Crioulo haitiano, Português, Francês, Espanhol",2,4,9,15,21,21,24,25,15,16,15,17,15,16,17,17,,,,,,,,,1,1,1,1,15,16,16,17,3,2,4,6,,,,,República Dominicana,60,Espanhol,5,,,,,"Espanhol, Português",,,2,4,11,15,,,24,24,,24,,,15,15,15,,16,,,16,,17,,,,,,,,,2,6,7,7,7,7,7,6,6,6,5,6,7,5,6,7,5,,,,,1,"0,5",,,,1,"0,5",,,,,,"0,5",,,,,,,,,,,,,,,,,,"0,5",,,,,,,,,,,,,,,,,,,,"C, P","C, P","C, F","C, F","C, F","C, P","C, F","C, F",C,"C, F","C, F","C, F",P,"C, P","C, F","C, F",,,,,,,,7,7,7,7,4,4,7,7,4,7,4,4,4,7,,,,,,,,,,,,,,,NÃO,NÃO
